rank,prev_rank,name,league,off,def,spi
489,489,Vejle,Danish SAS-Ligaen,0.83,1.54,28.64
490,496,New York Red Bulls II,United Soccer League,1.42,2.39,28.35
491,464,Apollon Smyrni,Greek Super League,0.74,1.43,28.19
492,490,Bodo/Glimt,Norwegian Tippeligaen,0.93,1.72,28.16
493,506,Livingston,Scottish Premiership,0.78,1.51,28.06
494,492,Doncaster Rovers,English League One,0.84,1.6,27.98
495,498,Orlando City SC,Major League Soccer,1.11,1.99,27.97
496,503,Numancia,Spanish Segunda Division,0.82,1.57,27.92
497,512,Sacramento Republic FC,United Soccer League,0.81,1.57,27.89
498,502,SuperSport United,South African ABSA Premier League,0.77,1.51,27.74
499,491,Charlton Athletic,English League One,0.94,1.76,27.68
500,483,Real Oviedo,Spanish Segunda Division,0.89,1.69,27.67
501,529,Scunthorpe,English League One,1.12,2.02,27.64
502,524,Vendsyssel,Danish SAS-Ligaen,0.93,1.76,27.44
503,516,Blackpool,English League One,0.72,1.49,26.8
504,497,Carolina Railhawks,United Soccer League,1.17,2.15,26.74
505,520,AC Ajaccio,French Ligue 2,0.73,1.52,26.63
506,507,Maritzburg Utd,South African ABSA Premier League,0.64,1.37,26.61
507,509,Cremonese,Italy Serie B,0.76,1.58,26.5
508,505,Lecce,Italy Serie B,0.87,1.74,26.47
509,514,Salernitana,Italy Serie B,0.78,1.6,26.36
510,515,Spezia,Italy Serie B,0.77,1.6,26.29
511,536,Southend United,English League One,0.9,1.8,26.24
512,535,Orléans,French Ligue 2,0.95,1.88,26.1
513,495,IFK Goteborg,Swedish Allsvenskan,1.02,1.98,26.04
514,511,Stabaek,Norwegian Tippeligaen,1.09,2.08,26.03
515,510,Extremadura UD,Spanish Segunda Division,0.9,1.81,26.01
516,494,Charleston Battery,United Soccer League,0.74,1.56,25.93
517,517,Erzgebirge Aue,German 2. Bundesliga,0.8,1.67,25.89
518,501,Indy Eleven,United Soccer League,0.92,1.86,25.78
519,521,V-Varen Nagasaki,Japanese J League,0.94,1.89,25.67
520,508,Kalmar FF,Swedish Allsvenskan,0.71,1.54,25.63
521,513,LA Galaxy II,United Soccer League,1.29,2.41,25.45
522,504,Fleetwood Town,English League One,0.79,1.69,25.17
523,523,Niort,French Ligue 2,0.84,1.79,25.01
524,518,Bloem Celtic,South African ABSA Premier League,0.57,1.37,24.72
525,525,Lugo,Spanish Segunda Division,0.71,1.6,24.71
526,539,Luton Town,English League One,0.84,1.8,24.63
527,537,Lillestrom,Norwegian Tippeligaen,0.86,1.84,24.56
528,499,Portland Timbers 2,United Soccer League,0.99,2.04,24.54
529,531,Cordoba,Spanish Segunda Division,0.99,2.07,23.99
530,519,Saint Louis FC,United Soccer League,0.79,1.77,23.99
531,543,Elche,Spanish Segunda Division,0.73,1.69,23.77
532,533,Polokwane City FC,South African ABSA Premier League,0.6,1.48,23.76
533,522,Colorado Rapids,Major League Soccer,0.84,1.87,23.74
534,538,St Johnstone,Scottish Premiership,0.82,1.83,23.72
535,534,US Pescara,Italy Serie B,0.77,1.76,23.67
536,550,Grenoble,French Ligue 2,0.76,1.75,23.46
537,530,Oldham Athletic,English League Two,0.74,1.74,23.29
538,553,Hobro IK,Danish SAS-Ligaen,0.96,2.09,23.24
539,528,Reus Deportiu,Spanish Segunda Division,0.56,1.45,23.22
540,542,Wellington Phoenix,Australian A-League,0.92,2.03,23.17
541,541,Rayo Majadahonda,Spanish Segunda Division,0.75,1.76,23.15
542,561,Accrington Stanley,English League One,0.73,1.74,22.98
543,526,Chateauroux,French Ligue 2,0.67,1.65,22.89
544,527,Black Aces,South African ABSA Premier League,0.68,1.68,22.86
545,540,Auxerre,French Ligue 2,0.71,1.73,22.72
546,549,Sochaux,French Ligue 2,0.64,1.64,22.44
547,546,Oklahoma City Energy FC,United Soccer League,0.78,1.86,22.41
548,532,Real Monarchs SLC,United Soccer League,0.97,2.18,22.23
549,552,Golden Arrows,South African ABSA Premier League,0.56,1.51,22.15
550,547,Tampa Bay Rowdies,United Soccer League,0.72,1.8,22.06
551,544,Gimnástic Tarragona,Spanish Segunda Division,0.65,1.67,22.06
552,551,Nashville SC,United Soccer League,0.58,1.58,21.75
553,548,Shrewsbury Town,English League One,0.57,1.56,21.75
554,565,Milton Keynes Dons,English League Two,0.67,1.73,21.67
555,545,Burton Albion,English League One,0.71,1.82,21.38
556,555,Lincoln City,English League Two,0.7,1.8,21.36
557,556,Motherwell,Scottish Premiership,0.72,1.86,21.13
558,563,Ascoli,Italy Serie B,0.55,1.57,21.09
559,557,AmaZulu,South African ABSA Premier League,0.62,1.69,21.06
560,568,Chippa United,South African ABSA Premier League,0.53,1.53,21.0
561,554,Valenciennes,French Ligue 2,0.93,2.2,20.97
562,564,Carpi,Italy Serie B,0.57,1.61,20.92
563,570,IK Start,Norwegian Tippeligaen,0.77,1.95,20.84
564,559,Swope Park Rangers,United Soccer League,0.84,2.07,20.82
565,560,Fresno FC,United Soccer League,0.64,1.76,20.61
566,569,Wycombe Wanderers,English League One,0.76,1.98,20.31
567,573,San Antonio FC,United Soccer League,0.79,2.03,20.3
568,567,Bristol Rovers,English League One,0.56,1.65,20.08
569,576,GFC Ajaccio,French Ligue 2,0.73,1.97,19.88
570,571,Exeter City,English League Two,0.71,1.93,19.75
571,558,Walsall,English League One,0.63,1.82,19.62
572,562,Rochdale,English League One,0.76,2.04,19.55
573,574,Central Coast Mariners,Australian A-League,0.79,2.09,19.4
574,579,IK Sirius,Swedish Allsvenskan,0.85,2.2,19.38
575,577,Sandefjord,Norwegian Tippeligaen,0.78,2.11,19.07
576,578,Colchester United,English League Two,0.68,1.94,19.05
577,566,Dalkurd FF,Swedish Allsvenskan,0.75,2.1,18.61
578,586,Gillingham,English League One,0.76,2.13,18.45
579,575,Coventry City,English League One,0.55,1.77,18.39
580,582,Padova,Italy Serie B,0.62,1.9,18.37
581,585,Livorno,Italy Serie B,0.61,1.88,18.26
582,584,Bury,English League Two,0.67,1.99,18.25
583,581,Cosenza,Italy Serie B,0.6,1.86,18.14
584,596,Mansfield Town,English League Two,0.56,1.8,18.08
585,572,Hamilton Academical,Scottish Premiership,0.69,2.07,17.59
586,591,Plymouth Argyle,English League One,0.67,2.04,17.52
587,583,Red Star FC 93,French Ligue 2,0.66,2.04,17.33
588,580,Free State Stars,South African ABSA Premier League,0.45,1.65,17.32
589,597,Charlotte Independence,United Soccer League,0.74,2.18,17.32
590,588,Beziers AS,French Ligue 2,0.46,1.69,17.09
591,590,AS Nancy Lorraine,French Ligue 2,0.41,1.65,16.5
592,589,St Mirren,Scottish Premiership,0.58,1.98,16.45
593,603,Colorado Springs Switchbacks FC,United Soccer League,0.48,1.79,16.29
594,595,Bradford City,English League One,0.53,1.9,16.28
595,587,Oxford United,English League One,0.68,2.16,16.28
596,594,Highlands Park FC,South African ABSA Premier League,0.47,1.8,16.03
597,592,AFC Wimbledon,English League One,0.51,1.89,15.79
598,599,Penn FC,United Soccer League,0.58,2.04,15.57
599,605,Rio Grande Valley FC Toros,United Soccer League,0.5,1.91,15.36
600,593,Baroka FC,South African ABSA Premier League,0.4,1.72,15.36
601,606,Forest Green Rovers,English League Two,0.53,2.03,14.74
602,607,Dundee,Scottish Premiership,0.51,2.0,14.5
603,598,Swindon Town,English League Two,0.55,2.14,14.05
604,610,Toronto FC II,United Soccer League,0.9,2.8,13.98
605,602,Las Vegas Lights FC,United Soccer League,0.79,2.64,13.59
606,604,Ottawa Fury FC,United Soccer League,0.31,1.68,13.49
607,608,Brommapojkarna,Swedish Allsvenskan,0.55,2.23,13.2
608,600,Yeovil Town,English League Two,0.55,2.23,13.13
609,601,Trelleborgs FF,Swedish Allsvenskan,0.58,2.32,12.77
610,613,Black Leopards,South African ABSA Premier League,0.43,2.08,12.11
611,611,Crawley Town,English League Two,0.52,2.29,12.08
612,614,Tranmere Rovers,English League Two,0.33,1.91,11.73
613,616,Crewe Alexandra,English League Two,0.4,2.27,10.07
614,615,Tulsa Roughnecks,United Soccer League,0.61,2.75,9.92
615,622,Notts County,English League Two,0.55,2.63,9.84
616,609,Northampton Town,English League Two,0.37,2.25,9.71
617,617,Stevenage,English League Two,0.28,2.03,9.7
618,621,Newport County,English League Two,0.45,2.44,9.66
619,612,Carlisle United,English League Two,0.23,1.98,9.09
620,623,Atlanta United 2,United Soccer League,0.39,2.54,7.9
621,624,Seattle Sounders 2,United Soccer League,0.42,2.63,7.83
622,618,Port Vale,English League Two,0.23,2.15,7.77
623,619,Cambridge United,English League Two,0.39,2.6,7.52
624,620,Cheltenham Town,English League Two,0.31,2.45,7.34
625,627,Macclesfield,English League Two,0.28,2.55,6.26
626,625,Morecambe,English League Two,0.2,2.33,6.22
627,626,Grimsby Town,English League Two,0.2,2.38,5.98
628,628,Richmond Kickers,United Soccer League,0.33,2.77,5.92
